pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,stand,on_3b,on_2b,on_1b,inning,pitch_number,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y
1,2022,4,14,1,2,4,1,0,0,1,2,3,2,1,1,3.4,1.51,0,90.6,-2.19,53.58,5.76,1703.0,6.9,-0.17,1.44,19.0,0.0,8.0,1.0,0.0,0.0
0,2022,4,14,1,2,4,1,0,0,1,2,4,2,2,1,3.23,1.47,0,96.1,-2.18,53.78,5.87,2179.0,6.7,-0.83,4.16,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,1,2,5,2,3,1,3.45,1.56,0,84.4,-2.16,53.67,5.77,2392.0,6.8,-0.67,3.47,19.0,0.0,11.0,1.0,0.0,0.0
0,2022,4,14,1,2,4,0,0,1,1,2,1,2,0,0,3.41,1.56,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,4,0,0,1,1,2,2,2,0,1,3.46,1.48,0,83.9,-2.25,53.74,5.75,2519.0,6.8,0.34,2.48,19.0,9.0,6.0,0.0,0.0,0.0
0,2022,4,14,1,2,4,0,0,1,1,2,3,2,1,1,3.41,1.56,0,96.9,-1.98,53.72,5.92,2161.0,6.8,-0.32,3.68,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,0,3,1,0,0,0,3.55,1.63,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,4,0,0,0,0,3,1,1,0,0,3.56,1.77,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,4,0,0,0,0,3,2,1,1,0,3.63,1.71,0,95.6,-1.95,53.72,5.95,2199.0,6.8,0.93,1.56,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,14,1,2,4,0,0,0,0,3,3,1,1,1,3.49,1.56,0,95.6,-2.17,53.69,5.84,2274.0,6.8,0.04,2.99,19.0,2.0,5.0,0.0,0.0,0.0
0,2022,4,14,1,2,4,0,0,0,0,3,4,1,2,1,3.48,1.69,0,90.3,-2.17,53.76,5.78,2378.0,6.7,1.74,0.17,19.0,0.0,14.0,1.0,0.0,0.0
1,2022,4,14,1,2,4,0,0,0,0,3,5,1,2,2,3.41,1.56,0,86.4,-2.44,53.83,5.8,2396.0,6.7,-0.58,3.25,19.0,2.0,1.0,0.0,0.0,0.0
0,2022,4,14,1,2,4,1,0,0,0,3,1,2,0,0,3.17,1.47,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,4,1,0,0,0,3,2,2,0,1,3.14,1.49,0,84.0,-2.2,53.84,5.84,2447.0,6.7,0.62,1.93,19.0,2.0,9.0,0.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,0,3,3,2,1,1,3.26,1.52,0,92.6,-2.22,53.75,5.8,1795.0,6.8,0.41,1.14,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,14,1,2,4,1,0,0,0,3,4,2,2,1,3.3,1.5,0,96.2,-2.39,53.95,5.75,2324.0,6.5,-1.73,3.21,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,0,3,5,2,2,2,3.3,1.5,0,86.0,-2.3,53.77,5.77,2457.0,6.7,-0.48,1.85,19.0,9.0,7.0,0.0,0.0,0.0
0,2022,4,14,1,2,4,1,0,0,0,3,6,2,2,2,3.22,1.57,0,97.7,-2.43,53.82,5.8,2207.0,6.7,-0.83,2.12,19.0,3.0,4.0,0.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,0,3,7,2,3,2,3.08,1.43,0,86.1,-2.19,53.93,6.08,2391.0,6.6,-1.17,4.57,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,0,4,1,0,0,0,3.26,1.48,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,4,1,0,1,0,4,1,0,0,0,3.55,1.63,1,,,,,,,,,,,,,,
